Set,CN,Name,R,La,Artist
FNM,1,River Boa,R,EN,Steve White
FNM,2,Terror,R,EN,Ron Spencer
FNM,3,Longbow Archer,R,EN,Eric Peterson
FNM,4,Volcanic Geyser,R,EN,David O'Connor
FNM,5,Mind Warp,R,EN,Liz Danforth
FNM,6,Shock,R,EN,Randy Gallegos
FNM,8,Giant Growth,R,EN,Sandra Everingham
FNM,9,Prodigal Sorcerer,R,EN,Douglas Shuler
FNM,10,Stone Rain,R,EN,Daniel Gelon
FNM,11,Llanowar Elves,R,EN,Anson Maddocks
FNM,12,Staunch Defenders,R,EN,Mark Poole
F01,6,Swords to Plowshares,R,EN,Jeff A. Menges
F01,7,Ophidian,R,EN,Cliff Nielsen
F01,8,Jackal Pup,R,EN,Susan Van Camp
F01,9,Quirion Ranger,R,EN,Tom Kyffin
F01,10,Carnophage,R,EN,Pete Venters
F01,11,Impulse,R,EN,Bryan Talbot
F01,12,Fireblast,R,EN,Michael Danza
F02,1,Soltari Priest,R,EN,Janet Aulisio
F02,2,Albino Troll,R,EN,Paolo Parente
F02,3,Dissipate,R,EN,Richard Kane Ferguson
F02,4,Black Knight,R,EN,Jeff A. Menges
F02,5,Wall of Blossoms,R,EN,Heather Hudson
F02,6,Fireslinger,R,EN,Jeff Reitz
F02,7,Drain Life,R,EN,Douglas Shuler
F02,8,Aura of Silence,R,EN,D. Alexander Gregory
F02,9,Forbid,R,EN,Scott Kirschner
F02,10,Spike Feeder,R,EN,Heather Hudson
F02,11,Mogg Fanatic,R,EN,Brom
F02,12,White Knight,R,EN,Daniel Gelon
F03,1,Bottle Gnomes,R,EN,Kaja Foglio
F03,2,Muscle Sliver,R,EN,Richard Kane Ferguson
F03,3,Crystalline Sliver,R,EN,Allen Williams
F03,4,Capsize,R,EN,Tom Wänerstrand
F03,5,Priest of Titania,R,EN,Rebecca Guay
F03,6,Goblin Bombardment,R,EN,Brian Snõddy
F03,7,Scragnoth,R,EN,Jeff Laubenstein
F03,8,Smother,R,EN,Carl Critchlow
F03,9,Whipcorder,R,EN,Ron Spencer
F03,10,Sparksmith,R,EN,Jim Nelson
F03,11,Krosan Tusker,R,EN,Kev Walker
F03,12,Withered Wretch,R,EN,Tim Hildebrandt
F03,13,Disenchant,R,EN,Kevin McCann
F04,1,Willbender,R,EN,Eric Peterson
F04,2,Slice and Dice,R,EN,Mark Brill
F04,3,Silver Knight,R,EN,Eric Peterson
F04,4,Krosan Warchief,R,EN,Greg Hildebrandt
F04,5,Lightning Rift,R,EN,Eric Peterson
F04,6,Carrion Feeder,R,EN,Brian Snõddy
F04,7,Treetop Village,R,EN,Anthony S. Waters
F04,8,Accumulated Knowledge,R,EN,Randy Gallegos
F04,9,Avalanche Riders,R,EN,"Edward P. Beard, Jr."
F04,10,Reanimate,R,EN,Robert Bliss
F04,11,Mother of Runes,R,EN,Scott M. Fischer
F04,12,Brainstorm,R,EN,DiTerlizzi
F05,1,Rancor,R,EN,Kev Walker
F05,2,Seal of Cleansing,R,EN,Christopher Moeller
F05,3,Flametongue Kavu,R,EN,Pete Venters
F05,4,Blastoderm,R,EN,Eric Peterson
F05,5,Cabal Therapy,R,EN,Ron Spencer
F05,6,Fact or Fiction,R,EN,Terese Nielsen
F05,7,Juggernaut,R,EN,Dan Frazier
F05,8,Circle of Protection: Red,R,EN,Mark Tedin
F05,9,Kird Ape,R,EN,"Ken Meyer, Jr."
F05,10,Duress,R,EN,Lawrence Snelly
F05,11,Counterspell,R,EN,Mark Poole
F05,12,Icy Manipulator,R,EN,Douglas Shuler
F06,1,Elves of Deep Shadow,R,EN,Jesper Myrfors
F06,2,Armadillo Cloak,R,EN,Paolo Parente
F06,3,Terminate,R,EN,DiTerlizzi
F06,4,Lobotomy,R,EN,Thomas M. Baxa
F06,6,Wild Mongrel,R,EN,Anthony S. Waters
F06,7,Chainer's Edict,R,EN,Ben Thompson
F06,8,Circular Logic,R,EN,Anthony S. Waters
F06,9,Astral Slide,R,EN,Ron Spears
F06,10,Arrogant Wurm,R,EN,John Avon
F06,11a,Life // Death,R,EN,"Anthony S. Waters & Edward P. Beard, Jr."
F06,12a,Fire // Ice,R,EN,David Martin & Franz Vohwinkel
F07,1,Firebolt,R,EN,Ron Spencer
F07,2,Deep Analysis,R,EN,Daren Bader
F07,3,Gerrard's Verdict,R,EN,Carl Critchlow
F07,4,Basking Rootwalla,R,EN,Heather Hudson
F07,5,Wonder,R,EN,Rebecca Guay
F07,6,Goblin Legionnaire,R,EN,Mark Romanoski
F07,7,Engineered Plague,R,EN,Michael Sutfin
F07,8,Goblin Ringleader,R,EN,Mark Romanoski
F07,9,Wing Shards,R,EN,Daren Bader
F07,10,Cabal Coffers,R,EN,Don Hazeltine
F07,11,Roar of the Wurm,R,EN,Kev Walker
F07,12,Force Spike,R,EN,Bryon Wackwitz
F08,1,Remand,R,EN,Hideaki Takamura
F08,2,Tormod's Crypt,R,EN,Lars Grant-West
F08,3,Eternal Witness,R,EN,Terese Nielsen
F08,4,Tendrils of Agony,R,EN,Volkan Baǵa
F08,5,Pendelhaven,R,EN,Philip Straub
F08,6,Resurrection,R,EN,Michael Komarck
F08,7,Wall of Roots,R,EN,Matt Stewart
F08,8,Desert,R,EN,Glen Angus
F08,9,Thirst for Knowledge,R,EN,Bud Cook
F08,10,Serrated Arrows,R,EN,John Avon
F08,11,Isochron Scepter,R,EN,Brian Despain
F08,12,Shrapnel Blast,R,EN,Hideaki Takamura
F09,1,Magma Jet,R,EN,Darrell Riche
F09,2,Myr Enforcer,R,EN,Jim Murray
F09,3,Kitchen Finks,R,EN,Larry MacDougall
F09,4,Merrow Reejerey,R,EN,Thomas M. Baxa
F09,5,Wren's Run Vanquisher,R,EN,Jesper Ejsing
F09,6,Mulldrifter,R,EN,Wayne England
F09,7,Murderous Redcap,R,EN,Mark Hyzer
F09,8,Lightning Greaves,R,EN,Michael Komarck
F09,9,Watchwolf,R,EN,Dave Kendall
F09,10,Browbeat,R,EN,Kieran Yanner
F09,11,Oblivion Ring,R,EN,Chuck Lukacs
F09,12,Sakura-Tribe Elder,R,EN,Ted Galaday
F10,1,Tidehollow Sculler,R,EN,Carl Critchlow
F10,2,Ghostly Prison,R,EN,Wayne England
F10,3,Ancient Ziggurat,R,EN,Randy Gallegos
F10,4,Bloodbraid Elf,R,EN,Steve Argyle
F10,5,Cloudpost,R,EN,Jim Nelson
F10,6,Elvish Visionary,R,EN,Lucio Parrillo
F10,7,Anathemancer,R,EN,Mark Hyzer
F10,8,Krosan Grip,R,EN,Franz Vohwinkel
F10,9,Qasali Pridemage,R,EN,Dave Allsop
F10,10,Rift Bolt,R,EN,Daniel Ljunggren
F10,11,Gatekeeper of Malakir,R,EN,Jason Felix
F10,12,Wild Nacatl,R,EN,Kev Walker
F11,1,Everflowing Chalice,R,EN,Charles Urbach
F11,2,Spellstutter Sprite,R,EN,Christopher Moeller
F11,3,Wall of Omens,R,EN,Howard Lyon
F11,4,Artisan of Kozilek,R,EN,Nils Hamm
F11,5,Squadron Hawk,R,EN,Martina Pilcerova
F11,6,Rhox War Monk,R,EN,Allen Williams
F11,7,Jace's Ingenuity,R,EN,Steve Argyle
F11,8,Cultivate,R,EN,John Avon
F11,9,Teetering Peaks,R,EN,Kekai Kotaki
F11,10,Contagion Clasp,R,EN,Franz Vohwinkel
F11,11,Go for the Throat,R,EN,David Rapoza
F11,12,Savage Lands,R,EN,John Avon
F12,1,Glistener Elf,R,EN,Mark Zug
F12,2,Despise,R,EN,Raymond Swanland
F12,3,Tectonic Edge,R,EN,Eytan Zana
F12,4,Dismember,R,EN,Jason Felix
F12,5,Ancient Grudge,R,EN,Wayne England
F12,6,Acidic Slime,R,EN,Brad Rigney
F12,7,Forbidden Alchemy,R,EN,Randy Gallegos
