Set,CN,Name,R,La,Artist
PLST,PCY-1,Abolish,U,EN,Kev Walker
PLST,ODY-58,"Aboshan, Cephalid Emperor",R,EN,Christopher Moeller
PLST,ULG-73,About Face,C,EN,Melissa A. Benson
PLST,2XM-114,Abrade,C,EN,Jonas De Ro
PLST,HOU-83,Abrade,U,EN,Florian de Gesincourt
PLST,GK1-57,Abrupt Decay,R,EN,Svetlin Velinov
PLST,CN2-126,Absorb Vis,C,EN,Brandon Kitkouski
PLST,EMA-156,Abundant Growth,C,EN,Vincent Proce
PLST,KTK-1,Abzan Battle Priest,U,EN,Chris Rahn
PLST,FRF-119,Abzan Beastmaster,U,EN,Winona Nelson
PLST,C16-177,Abzan Charm,U,EN,Mathias Kollros
PLST,KTK-2,Abzan Falconer,U,EN,Steven Belledin
PLST,KTK-162,Abzan Guide,C,EN,Steve Prescott
PLST,FRF-3,Abzan Runemark,C,EN,James Ryman
PLST,CNS-20,Academy Elite,R,EN,Volkan Baǵa
PLST,DOM-41,Academy Journeymage,C,EN,Magali Villeneuve
PLST,MH2-219,Academy Manufactor,R,EN,Campbell White
PLST,2XM-309,Academy Ruins,R,EN,Zoltan Boros & Gabor Szikszai
PLST,MBS-1,Accorder Paladin,U,EN,Kekai Kotaki
PLST,M15-85,Accursed Spirit,C,EN,Kev Walker
PLST,C18-127,Acidic Slime,U,EN,Karl Kopinski
PLST,USG-172,Acidic Soil,U,EN,Scott M. Fischer
PLST,CMD-241,Acorn Catapult,R,EN,Jesper Ejsing
PLST,NEO-44,Acquisition Octopus,U,EN,Francisco Miyara
PLST,KLD-1,Acrobatic Maneuver,C,EN,Winona Nelson
PLST,RNA-91,Act of Treason,C,EN,Scott Murphy
PLST,M15-126,Act on Impulse,U,EN,Brad Rigney
PLST,DOM-2,Adamant Will,C,EN,Alex Konstad
PLST,XLN-1,Adanto Vanguard,U,EN,Anna Steinbauer
PLST,CSP-1,Adarkar Valkyrie,R,EN,Jeremy Jarvis
PLST,M3C-316,Adarkar Wastes,R,EN,Piotr Dura
PLST,DOM-190,"Adeliz, the Cinder Wind",U,EN,Zezhou Chen
PLST,XLN-217,Admiral Beckett Brass,M,EN,Jason Rainville
PLST,HOU-2,Adorned Pouncer,R,EN,Slawomir Maniak
PLST,DOM-153,Adventurous Impulse,C,EN,Titus Lunter
PLST,KLD-2,Aerial Responder,U,EN,Raoul Vitale
PLST,E01-2,Aerial Responder,U,EN,Raoul Vitale
PLST,DTK-170,Aerie Bowmasters,C,EN,Matt Stewart
PLST,CMR-365,"Aesi, Tyrant of Gyre Strait",M,EN,Viktor Titov
PLST,KLD-192,Aetherflux Reservoir,R,EN,Cliff Childs
PLST,KLD-242,Aether Hub,U,EN,Sam Burley
PLST,DDO-36,Aetherize,U,EN,Ryan Barger
PLST,DST-37,Aether Snap,R,EN,Kev Walker
PLST,MM2-39,Aethersnipe,C,EN,Zoltan Boros & Gabor Szikszai
PLST,MMA-196,Aether Spellbomb,C,EN,Jim Nelson
PLST,KLD-38,Aether Tradewinds,C,EN,Lius Lasahido
PLST,DST-91,Aether Vial,U,EN,Greg Hildebrandt
PLST,OGW-14,Affa Protector,C,EN,Izzy
PLST,GRN-121,Affectionate Indrik,U,EN,Steve Prescott
PLST,MIR-1,Afterlife,U,EN,Pete Venters
PLST,TMP-160,Aftershock,C,EN,Hannibal King
PLST,ONE-1,Against All Odds,U,EN,Rudy Siswanto
PLST,CNS-54,Agent of Acquisitions,U,EN,Eytan Zana
PLST,GS1-34,Aggressive Instinct,C,EN,Wolk Sheep
PLST,RIX-122,Aggressive Urge,C,EN,Jakub Kasper
PLST,MM3-150,Agony Warp,C,EN,Dave Allsop
PLST,AKH-117,Ahn-Crop Crasher,U,EN,Seb McKinnon
PLST,WAR-76,Aid the Fallen,C,EN,Sara Winters
PLST,KTK-3,Ainok Bond-Kin,C,EN,Chris Rahn
PLST,DTK-172,Ainok Survivalist,U,EN,Craig J Spearing
PLST,KTK-96,Ainok Tracker,C,EN,Evan Shipard
PLST,P02-31,Air Elemental,U,EN,Doug Chaffee
PLST,M19-4,Ajani's Last Stand,R,EN,Slawomir Maniak
PLST,WAR-4,Ajani's Pridemate,U,EN,Sidharth Chaturvedi
PLST,M20-2,"Ajani, Strength of the Pride",M,EN,Chris Rallis
PLST,M19-6,Ajani's Welcome,U,EN,Eric Deschamps
PLST,WAR-184,"Ajani, the Greathearted",R,EN,Victor Adame Minguez
PLST,DD1-33,Akki Coalflinger,U,EN,Nottsuo
PLST,CMA-238,Akoum Refuge,U,EN,Fred Fields
PLST,CN2-197,Akroan Hoplite,U,EN,Igor Kieryluk
PLST,C16-241,Akroan Horse,R,EN,Seb McKinnon
PLST,BNG-2,Akroan Phalanx,U,EN,Steve Prescott
PLST,ORI-130,Akroan Sergeant,C,EN,Zack Stella
PLST,DVD-1,"Akroma, Angel of Wrath",M,EN,Chippy
PLST,FUT-159,Akroma's Memorial,R,EN,Dan Murayama Scott
PLST,POR-1,Alabaster Dragon,R,EN,Ted Naifeh
PLST,EMN-116,Alchemist's Greeting,C,EN,Jakub Kasper
PLST,AVR-225,Alchemist's Refuge,R,EN,Dan Murayama Scott
PLST,VOW-47,Alchemist's Retrieval,C,EN,David Auden Nash
PLST,ORI-220,Alchemist's Vial,C,EN,Lindsey Look
PLST,ELD-324,"Alela, Artful Provocateur",M,EN,Grzegorz Rutkowski
PLST,CMR-160,"Alena, Kessig Trapper",U,EN,Zoltan Boros
PLST,FRF-60,Alesha's Vanguard,C,EN,Torstein Nordstrand
PLST,FRF-90,"Alesha, Who Smiles at Death",R,EN,Anastasia Ovchinnikova
PLST,ORI-221,Alhammarret's Archive,M,EN,Richard Wright
PLST,CMR-4,"Alharu, Solemn Ritualist",U,EN,Chris Rallis
PLST,AER-6,Alley Evasion,C,EN,Scott Murphy
PLST,AER-52,Alley Strangler,C,EN,Enora Mercier
PLST,CMD-4,Alliance of Arms,R,EN,Johann Bodin
PLST,MM2-1,All Is Dust,R,EN,Jason Felix
PLST,CSP-101,Allosaurus Rider,R,EN,Daren Bader
PLST,MM2-201,Alloy Myr,C,EN,Matt Cavotta
PLST,5DN-81,All Suns' Dawn,R,EN,Glen Angus
PLST,ELD-2,All That Glitters,U,EN,Iain McCaig
